Rate,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
100,open,1000.0,0.0,100.39200000000001,1.2556,0.142,0.6776000000000001,93.704
100,query,1000.0,0.0,100.35600000000001,0.036000000000000004,0.0,0.0,100.316
100,transfer,1000.0,0.0,100.384,1.2436,0.1264,0.6908,94.88
200,open,1000.0,0.0,200.48,1.3248000000000002,0.1928,0.7515999999999999,172.792
200,query,1000.0,0.0,200.312,0.018799999999999997,0.0,0.0,200.22
200,transfer,1000.0,0.0,200.548,1.3988,0.16440000000000002,0.8148000000000001,178.84799999999998
300,open,1000.0,0.0,300.012,1.5091999999999999,0.2816,0.8648,253.49599999999998
300,query,1000.0,0.0,299.84,0.0212,0.0,0.0,299.64
300,transfer,1000.0,0.0,299.776,1.5988,0.45520000000000005,0.9984000000000001,243.648
400,open,1000.0,0.0,399.62800000000004,1.6740000000000002,0.4144,0.9732,322.952
400,query,1000.0,0.0,398.756,0.0152,0.0,0.0,398.42400000000004
400,transfer,1000.0,0.0,400.084,1.8688,0.4224,1.088,301.3
500,open,1000.0,0.0,498.668,1.7924,0.5324,1.1076000000000001,339.816
500,query,1000.0,0.0,498.10400000000004,0.0196,0.0,0.0,497.50800000000004
500,transfer,1000.0,0.0,494.46,2.102,0.3044,1.2819999999999998,340.272
600,open,1000.0,0.0,592.156,1.7448,0.6524,1.1867999999999999,371.23199999999997
600,query,1000.0,0.0,597.5319999999999,0.0204,0.0,0.0,596.804
600,transfer,1000.0,0.0,586.7040000000001,2.0496,0.7524,1.4552,347.856
700,open,1000.0,0.0,680.2280000000001,1.7724000000000002,0.7864,1.2844,408.084
700,query,1000.0,0.0,695.98,0.0168,0.0,0.0,695.06
700,transfer,1000.0,0.0,697.752,2.2092,0.6831999999999999,1.4768000000000001,360.664
800,open,1000.0,0.0,795.936,1.8163999999999998,0.9288,1.3272,411.60400000000004
800,query,1000.0,0.0,795.312,0.0144,0.0,0.0,794.3960000000001
800,transfer,1000.0,0.0,795.296,2.1532,0.9968,1.5368000000000002,365.592
900,open,1000.0,0.0,894.42,1.776,0.956,1.3412,431.51199999999994
900,query,1000.0,0.0,891.86,0.016399999999999998,0.0,0.0,890.596
900,transfer,1000.0,0.0,894.6519999999999,2.0796,1.1464,1.604,381.3
1000,open,1000.0,0.0,993.6360000000001,1.7808000000000002,0.9336,1.354,442.464
1000,query,1000.0,0.0,987.296,0.016800000000000002,0.0,0.0,985.676
1000,transfer,1000.0,0.0,994.488,2.5028,1.3088,1.8876,349.224
1100,open,1000.0,0.0,1082.228,2.4292,1.1256,1.71,353.792
1100,query,1000.0,0.0,1076.256,0.0228,0.0,0.0,1074.048
1100,transfer,1000.0,0.0,1073.7160000000001,2.5312,1.176,1.9247999999999998,320.028
1200,open,1000.0,0.0,1176.752,2.2124,1.0364,1.6008000000000002,372.744
1200,query,1000.0,0.0,1166.18,0.0168,0.0,0.0,1163.64
1200,transfer,1000.0,0.0,1158.3239999999998,2.6724,1.0739999999999998,1.9724000000000002,310.10400000000004
1300,open,1000.0,0.0,1270.656,1.972,1.1268,1.5024000000000002,406.164
1300,query,1000.0,0.0,1267.996,0.026000000000000002,0.0,0.0,1254.432
1300,transfer,1000.0,0.0,1266.756,2.5432,1.2256,1.9964,325.57599999999996
1400,open,1000.0,0.0,1337.08,2.028,1.094,1.548,403.73199999999997
1400,query,1000.0,0.0,1363.896,0.0148,0.0,0.0,1360.264
1400,transfer,1000.0,0.0,1351.832,2.5204,1.2584,1.9704,330.05199999999996
1500,open,1000.0,0.0,1357.108,2.0408,1.0659999999999998,1.5184,409.764
1500,query,1000.0,0.0,1456.888,0.0168,0.0,0.0,1453.244
1500,transfer,1000.0,0.0,1415.76,2.5676,1.0092,1.9340000000000002,330.184
1600,open,1000.0,0.0,1366.684,1.9784,1.0976000000000001,1.5244,408.116
1600,query,1000.0,0.0,1542.704,0.02,0.0,0.0,1538.356
1600,transfer,1000.0,0.0,1413.4679999999998,2.542,0.9836,1.9243999999999999,335.648
1700,open,1000.0,0.0,1340.48,1.9824000000000002,1.0632,1.5419999999999998,405.336
1700,query,1000.0,0.0,1646.22,0.0208,0.0,0.0,1640.964
1700,transfer,1000.0,0.0,1434.704,2.5632,1.1528,1.9280000000000002,330.088
1800,open,1000.0,0.0,1356.5720000000001,1.8928,1.1704,1.5088,416.25199999999995
1800,query,1000.0,0.0,1727.864,0.018799999999999997,0.0,0.0,1722.608
1800,transfer,1000.0,0.0,1430.1879999999999,2.7051999999999996,1.0768,1.974,317.652
1900,open,1000.0,0.0,1352.7520000000002,2.0336000000000003,1.1588,1.5648,402.51599999999996
1900,query,1000.0,0.0,1817.704,0.0172,0.0,0.0,1808.9279999999999
1900,transfer,1000.0,0.0,1426.6,2.4668,0.9752,1.8676,337.876
2000,open,1000.0,0.0,1358.348,1.9928,1.1968,1.5436,401.75199999999995
2000,query,1000.0,0.0,1913.868,0.0216,0.0,0.0,1906.58
2000,transfer,1000.0,0.0,1428.58,2.46,1.15,1.8863999999999999,344.50800000000004
2100,open,1000.0,0.0,1346.5439999999999,2.08,1.1956,1.5888,387.11199999999997
2100,query,1000.0,0.0,2014.9479999999999,0.0168,0.0,0.0,2008.292
2100,transfer,1000.0,0.0,1445.5279999999998,2.56,1.064,1.9196,328.716
2200,open,1000.0,0.0,1355.476,2.0184,1.1972,1.5196,401.64
2200,query,1000.0,0.0,2080.74,0.022799999999999997,0.0,0.0,2068.984
2200,transfer,1000.0,0.0,1410.9,2.7736,0.9915999999999999,1.9828000000000001,312.28
2300,open,1000.0,0.0,1329.864,2.0628,1.2044,1.5412000000000001,401.344
2300,query,1000.0,0.0,2186.4,0.0196,0.0,0.0,2177.544
2300,transfer,1000.0,0.0,1415.32,2.6028000000000002,1.1328,1.8868,326.94
2400,open,1000.0,0.0,1340.5079999999998,2.0488,1.1223999999999998,1.5548,393.096
2400,query,1000.0,0.0,2287.424,0.0236,0.0,0.0,2272.812
2400,transfer,1000.0,0.0,1407.62,2.3775999999999997,1.1887999999999999,1.8444,353.84
2500,open,1000.0,0.0,1339.16,2.102,1.1703999999999999,1.5792,394.0
2500,query,1000.0,0.0,2373.596,0.0204,0.0,0.0,2362.1079999999997
2500,transfer,1000.0,0.0,1404.5320000000002,2.4276,1.0648,1.8396000000000001,345.94800000000004
2600,open,1000.0,0.0,1370.0439999999999,2.0472,1.1444,1.58,392.12
2600,query,1000.0,0.0,2466.868,0.0176,0.0,0.0,2457.6679999999997
2600,transfer,1000.0,0.0,1405.348,2.4232,0.9987999999999999,1.8359999999999999,343.24800000000005
2700,open,1000.0,0.0,1332.168,1.9628,1.16,1.5316,415.908
2700,query,1000.0,0.0,2558.34,0.022000000000000002,0.0,0.0,2547.64
2700,transfer,1000.0,0.0,1417.7479999999998,2.2108000000000003,1.0644,1.7147999999999999,371.23199999999997
2800,open,1000.0,0.0,1327.444,1.9616,1.1256,1.5228,412.81199999999995
2800,query,1000.0,0.0,2604.368,0.0168,0.0,0.0,2593.924
2800,transfer,1000.0,0.0,1411.7720000000002,2.2632,1.0752,1.7091999999999998,365.43199999999996
2900,open,1000.0,0.0,1327.504,1.9828000000000001,1.1112,1.546,397.05199999999996
2900,query,1000.0,0.0,2676.8559999999998,0.0228,0.0,0.0004,2644.136
2900,transfer,1000.0,0.0,1410.776,2.374,0.9728,1.8232,348.05199999999996
3000,open,1000.0,0.0,1347.984,1.9848,1.1288,1.5104,412.24800000000005
3000,query,1000.0,0.0,2716.5840000000003,0.02,0.0,0.0,2703.0240000000003
3000,transfer,1000.0,0.0,1430.2479999999998,2.3091999999999997,1.2044,1.7844,363.48400000000004
3100,open,1000.0,0.0,1340.9,1.8976,1.1076000000000001,1.5131999999999999,425.11199999999997
3100,query,1000.0,0.0,2753.98,0.022000000000000002,0.0,0.0,2740.948
3100,transfer,1000.0,0.0,1423.2160000000001,2.2972,1.1792,1.7288,367.67199999999997
3200,open,1000.0,0.0,1341.86,1.9512,1.1188,1.5056,408.584
3200,query,1000.0,0.0,2803.88,0.0204,0.0,0.0,2789.1
3200,transfer,1000.0,0.0,1423.476,2.3788,1.1004,1.7744,347.74
3300,open,1000.0,0.0,1350.808,2.0284,1.17,1.5619999999999998,402.348
3300,query,1000.0,0.0,2775.28,0.0228,0.0,0.0,2759.1679999999997
3300,transfer,1000.0,0.0,1419.764,2.2716,0.9984000000000001,1.7244,364.848
3400,open,1000.0,0.0,1328.644,1.9904,1.1896,1.518,402.62
3400,query,1000.0,0.0,2833.8320000000003,0.022400000000000003,0.0,0.0004,2819.116
3400,transfer,1000.0,0.0,1437.764,2.4796,1.014,1.788,342.596
3500,open,1000.0,0.0,1359.7479999999998,2.1536,1.2508,1.6172,375.204
3500,query,1000.0,0.0,2781.272,0.0196,0.0,0.0,2762.0759999999996
3500,transfer,1000.0,0.0,1438.236,2.4804,1.1876,1.9544,334.19599999999997
3600,open,1000.0,0.0,1368.644,2.0488,1.1912,1.5748,398.78
3600,query,1000.0,0.0,2850.768,0.0232,0.0,0.0,2829.548
3600,transfer,1000.0,0.0,1447.356,2.4707999999999997,1.216,1.7964000000000002,338.332
3700,open,1000.0,0.0,1347.62,2.0172,1.1692,1.5568,401.42
3700,query,1000.0,0.0,2779.86,0.0208,0.0,0.0,2769.052
3700,transfer,1000.0,0.0,1445.168,2.412,1.12,1.8372,351.06800000000004
3800,open,1000.0,0.0,1348.672,2.1035999999999997,1.1712,1.5412000000000001,401.704
3800,query,1000.0,0.0,2846.36,0.022799999999999997,0.0,0.0,2833.072
3800,transfer,1000.0,0.0,1434.652,2.2064000000000004,1.1796,1.7716,379.296
3900,open,1000.0,0.0,1379.26,2.0436,1.2060000000000002,1.5696,403.80800000000005
3900,query,1000.0,0.0,2812.972,0.0216,0.0,0.0,2794.0640000000003
3900,transfer,1000.0,0.0,1433.964,2.298,1.2052,1.7548,358.50800000000004
4000,open,1000.0,0.0,1372.4160000000002,2.048,1.1844,1.5484,395.37199999999996
4000,query,1000.0,0.0,2808.5559999999996,0.02,0.0,0.0004,2793.0559999999996
4000,transfer,1000.0,0.0,1425.28,2.39,1.0464,1.8368,352.184
4100,open,1000.0,0.0,1331.612,2.0184,1.2012,1.5268000000000002,404.256
4100,query,1000.0,0.0,2793.9240000000004,0.02,0.0,0.0,2776.676
4100,transfer,1000.0,0.0,1448.596,2.274,1.0624,1.7191999999999998,365.236
4200,open,1000.0,0.0,1326.276,1.9628,1.1464,1.5268000000000002,412.11199999999997
4200,query,1000.0,0.0,2848.1079999999997,0.0204,0.0,0.0,2833.58
4200,transfer,1000.0,0.0,1433.604,2.3912,1.1056,1.7872,351.44
4300,open,1000.0,0.0,1326.844,2.008,1.1352,1.5056,403.216
4300,query,1000.0,0.0,2811.1279999999997,0.022799999999999997,0.0,0.0,2785.116
4300,transfer,1000.0,0.0,1441.016,2.4684,1.0564,1.8903999999999999,344.996
4400,open,1000.0,0.0,1338.2720000000002,1.9735999999999998,1.1936,1.5036,414.57599999999996
4400,query,1000.0,0.0,2762.9559999999997,0.0248,0.0,0.0,2732.9
4400,transfer,1000.0,0.0,1422.336,2.3476,1.172,1.7512,354.292
4500,open,1000.0,0.0,1340.18,2.0124,1.1723999999999999,1.5432,403.676
4500,query,1000.0,0.0,2814.48,0.0236,0.0,0.0,2796.844
4500,transfer,1000.0,0.0,1417.7160000000001,2.3480000000000003,1.0624,1.8063999999999998,355.18800000000005
4600,open,1000.0,0.0,1326.18,1.9451999999999998,1.1636,1.5344,413.528
4600,query,1000.0,0.0,2793.02,0.0232,0.0,0.0,2768.0240000000003
4600,transfer,1000.0,0.0,1427.18,2.2112,1.2172,1.6908,374.80800000000005
4700,open,1000.0,0.0,1344.98,2.1024000000000003,1.1504,1.5836000000000001,396.348
4700,query,1000.0,0.0,2748.44,0.0152,0.0,0.0,2735.9359999999997
4700,transfer,1000.0,0.0,1434.76,2.352,1.074,1.7564,352.408
4800,open,1000.0,0.0,1365.5639999999999,1.9496,1.1188,1.5356,410.68
4800,query,1000.0,0.0,2791.616,0.0212,0.0,0.0,2778.428
4800,transfer,1000.0,0.0,1400.912,2.2640000000000002,1.0292000000000001,1.7431999999999999,362.216
4900,open,1000.0,0.0,1355.316,1.9808000000000001,1.1896,1.5352000000000001,411.58
4900,query,1000.0,0.0,2798.452,0.0188,0.0,0.0,2780.8720000000003
4900,transfer,1000.0,0.0,1421.7720000000002,2.2207999999999997,1.1012,1.7180000000000002,373.12
5000,open,1000.0,0.0,1334.3,1.9412,1.1336,1.5356,412.376
5000,query,1000.0,0.0,2803.204,0.0196,0.0,0.0,2785.192
5000,transfer,1000.0,0.0,1417.224,2.244,1.1572,1.7184,366.42800000000005
5100,open,1000.0,0.0,1339.392,2.0772,1.1844,1.57,393.048
5100,query,1000.0,0.0,2780.9759999999997,0.026000000000000002,0.0,0.0008,2755.16
5100,transfer,1000.0,0.0,1442.104,2.5632,1.1672,1.8488,334.056
5200,open,1000.0,0.0,1346.0520000000001,2.1464000000000003,1.1784000000000001,1.5572,388.816
5200,query,1000.0,0.0,2764.32,0.024399999999999998,0.0,0.0,2750.0759999999996
5200,transfer,1000.0,0.0,1444.516,2.4956,1.1548,1.8392,345.164
5300,open,1000.0,0.0,1366.364,2.002,1.17,1.544,410.244
5300,query,1000.0,0.0,2821.736,0.024,0.0,0.0008,2796.5959999999995
5300,transfer,1000.0,0.0,1436.34,2.4356,1.1332,1.7904,353.78
5400,open,1000.0,0.0,1356.076,2.1748,1.1348,1.6232,377.46
5400,query,1000.0,0.0,2801.76,0.0236,0.0,0.0,2783.3759999999997
5400,transfer,1000.0,0.0,1428.0639999999999,2.4304,1.0664,1.8728,347.5
5500,open,1000.0,0.0,1355.108,2.0964,1.1348,1.5792,396.152
5500,query,1000.0,0.0,2874.508,0.016,0.0,0.0,2861.512
5500,transfer,1000.0,0.0,1454.62,2.43,1.1696,1.8436,348.596
5600,open,1000.0,0.0,1343.5439999999999,2.0524,1.17,1.5372,398.01599999999996
5600,query,1000.0,0.0,2843.82,0.016,0.0,0.0,2829.9640000000004
5600,transfer,1000.0,0.0,1449.364,2.5528,1.1592,1.9208,338.94
5700,open,1000.0,0.0,1334.88,2.0908,1.1588,1.5444,391.43199999999996
5700,query,1000.0,0.0,2821.408,0.0216,0.0,0.0,2809.3
5700,transfer,1000.0,0.0,1432.096,2.4356,1.0408,1.8108000000000002,347.708
5800,open,1000.0,0.0,1371.596,2.0644,1.158,1.5536,398.452
5800,query,1000.0,0.0,2840.324,0.0248,0.0,0.0,2816.136
5800,transfer,1000.0,0.0,1450.876,2.4304,1.1108,1.814,348.908
5900,open,1000.0,0.0,1360.744,2.0568,1.1548,1.5272,400.72
5900,query,1000.0,0.0,2800.5840000000003,0.018000000000000002,0.0,0.0,2786.4440000000004
5900,transfer,1000.0,0.0,1411.376,2.3796,0.9084,1.8619999999999999,346.228
6000,open,1000.0,0.0,1351.32,2.0032,1.1116,1.508,411.42
6000,query,1000.0,0.0,2845.336,0.0252,0.0,0.0,2815.112
6000,transfer,1000.0,0.0,1436.668,2.3424,1.1408,1.7716,358.28
6100,open,1000.0,0.0,1334.2,2.0752,1.2092,1.5436,396.464
6100,query,1000.0,0.0,2817.688,0.02,0.0,0.0004,2802.68
6100,transfer,1000.0,0.0,1448.144,2.4168000000000003,1.084,1.8228,347.856
6200,open,1000.0,0.0,1356.0120000000002,1.9547999999999999,1.1292,1.5244,409.784
6200,query,1000.0,0.0,2789.888,0.0212,0.0,0.0,2776.88
6200,transfer,1000.0,0.0,1414.264,2.4928,0.9768000000000001,1.8088,338.664
6300,open,1000.0,0.0,1368.3239999999998,2.0912,1.1116,1.574,389.588
6300,query,1000.0,0.0,2788.844,0.0212,0.0,0.0,2776.4440000000004
6300,transfer,1000.0,0.0,1448.0720000000001,2.296,0.9976,1.7304,360.392
6400,open,1000.0,0.0,1358.376,2.0932,1.1016,1.5632,389.156
6400,query,1000.0,0.0,2814.304,0.02,0.0,0.0,2798.388
6400,transfer,1000.0,0.0,1436.096,2.4312,1.1216,1.8652000000000002,350.44
6500,open,1000.0,0.0,1351.576,1.974,1.1716,1.5312000000000001,410.0
6500,query,1000.0,0.0,2798.776,0.02,0.0,0.0004,2780.6679999999997
6500,transfer,1000.0,0.0,1420.2279999999998,2.314,1.0472,1.72,359.848
6600,open,1000.0,0.0,1353.184,1.9352,1.1208,1.4996,419.44
6600,query,1000.0,0.0,2830.548,0.0212,0.0,0.0,2816.9440000000004
6600,transfer,1000.0,0.0,1432.004,2.2252,1.0595999999999999,1.7087999999999999,373.784
6700,open,1000.0,0.0,1340.016,2.0012,1.1152,1.538,408.952
6700,query,1000.0,0.0,2780.3759999999997,0.0216,0.0,0.0,2758.8520000000003
6700,transfer,1000.0,0.0,1433.0439999999999,2.3456,1.1423999999999999,1.7096,359.144
6800,open,1000.0,0.0,1338.096,2.024,1.1896,1.54,404.22
6800,query,1000.0,0.0,2806.4320000000002,0.022400000000000003,0.0,0.0,2792.6240000000003
6800,transfer,1000.0,0.0,1435.32,2.3335999999999997,1.266,1.7848,360.51599999999996
6900,open,1000.0,0.0,1339.828,1.9948,1.1128,1.5288,406.756
6900,query,1000.0,0.0,2817.5359999999996,0.0204,0.0,0.0,2798.708
6900,transfer,1000.0,0.0,1452.476,2.2652,1.1079999999999999,1.7152,369.36
7000,open,1000.0,0.0,1347.46,2.08,1.1228,1.5924,394.08
7000,query,1000.0,0.0,2804.712,0.0184,0.0,0.0,2787.704
7000,transfer,1000.0,0.0,1456.6879999999999,2.3864,1.0916,1.7832,347.3
7100,open,1000.0,0.0,1354.3,2.13,1.1472,1.544,387.46
7100,query,1000.0,0.0,2830.46,0.022400000000000003,0.0,0.0,2817.3759999999997
7100,transfer,1000.0,0.0,1455.0520000000001,2.5744,1.1776,1.8952,326.30400000000003
7200,open,1000.0,0.0,1356.368,2.0564,1.1856,1.5548,397.684
7200,query,1000.0,0.0,2827.5959999999995,0.024,0.0,0.0,2803.184
7200,transfer,1000.0,0.0,1441.2160000000001,2.5024,1.1703999999999999,1.7963999999999998,344.376
7300,open,1000.0,0.0,1352.672,2.1484,1.198,1.5828,387.352
7300,query,1000.0,0.0,2772.4959999999996,0.0192,0.0,0.0,2760.5040000000004
7300,transfer,1000.0,0.0,1420.132,2.6404,1.0092,1.96,324.068
7400,open,1000.0,0.0,1354.3039999999999,2.0516,1.1736,1.5356,400.844
7400,query,1000.0,0.0,2857.284,0.022000000000000002,0.0,0.0004,2840.0359999999996
7400,transfer,1000.0,0.0,1445.7879999999998,2.516,1.1476,1.8628,339.14
7500,open,1000.0,0.0,1364.0,2.1216,1.1388,1.584,387.548
7500,query,1000.0,0.0,2829.268,0.0212,0.0,0.0,2814.9759999999997
7500,transfer,1000.0,0.0,1430.908,2.5340000000000003,1.1452,1.9016,333.19599999999997
7600,open,1000.0,0.0,1354.736,2.1136,1.144,1.5848,390.9
7600,query,1000.0,0.0,2811.1,0.0196,0.0,0.0,2788.42
7600,transfer,1000.0,0.0,1467.92,2.386,1.1520000000000001,1.7872,349.436
7700,open,1000.0,0.0,1358.2720000000002,2.0456,1.1840000000000002,1.5592,394.82800000000003
7700,query,1000.0,0.0,2860.384,0.022400000000000003,0.0,0.0,2841.772
7700,transfer,1000.0,0.0,1435.168,2.608,0.9376000000000001,1.86,330.42400000000004
7800,open,1000.0,0.0,1355.976,2.0168,1.1912,1.5624,403.056
7800,query,1000.0,0.0,2822.684,0.024399999999999998,0.0,0.0004,2797.828
7800,transfer,1000.0,0.0,1423.4879999999998,2.42,1.0624,1.8519999999999999,348.12800000000004
7900,open,1000.0,0.0,1372.5839999999998,2.05,1.1704,1.5504,397.816
7900,query,1000.0,0.0,2824.288,0.0204,0.0,0.0,2807.116
7900,transfer,1000.0,0.0,1420.7839999999999,2.6172000000000004,1.0659999999999998,1.8584,331.704
8000,open,1000.0,0.0,1350.3239999999998,1.9556,1.124,1.5263999999999998,415.48800000000006
8000,query,1000.0,0.0,2849.844,0.026000000000000002,0.0,0.0,2829.488
8000,transfer,1000.0,0.0,1452.004,2.2640000000000002,1.1688,1.6932,363.652
8100,open,1000.0,0.0,1435.836,1.9024,1.218,1.5568,424.144
8100,query,1000.0,0.0,2911.1,0.0236,0.0,0.0,2893.992
8100,transfer,1000.0,0.0,1499.184,2.1488,1.0944,1.6352000000000002,380.224
8200,open,1000.0,0.0,1443.7879999999998,2.064,1.25,1.6032,406.96
8200,query,1000.0,0.0,2951.88,0.024,0.0,0.0,2933.316
8200,transfer,1000.0,0.0,1504.5479999999998,2.112,1.1968,1.6732,391.16
8300,open,1000.0,0.0,1433.036,1.9352,1.1960000000000002,1.5615999999999999,415.38
8300,query,1000.0,0.0,2938.8920000000003,0.0256,0.0,0.0,2914.364
8300,transfer,1000.0,0.0,1516.2120000000002,2.0752,1.208,1.6428,399.18
8400,open,1000.0,0.0,1477.4920000000002,1.9243999999999999,1.2096,1.5924,420.25199999999995
8400,query,1000.0,0.0,2926.6079999999997,0.0196,0.0,0.0,2908.336
8400,transfer,1000.0,0.0,1499.908,2.028,1.1708,1.6032,404.46
8500,open,1000.0,0.0,1428.9679999999998,1.9916,1.1984000000000001,1.5752000000000002,417.496
8500,query,1000.0,0.0,2955.488,0.018799999999999997,0.0,0.0,2940.796
8500,transfer,1000.0,0.0,1506.2520000000002,2.0224,1.1528,1.5856000000000001,410.844
8600,open,1000.0,0.0,1452.668,1.9944,1.2176,1.6084,407.288
8600,query,1000.0,0.0,3022.264,0.0192,0.0,0.0004,3004.74
8600,transfer,1000.0,0.0,1530.104,2.1216,1.23,1.6780000000000002,392.26800000000003
8700,open,1000.0,0.0,1485.06,2.0244,1.1987999999999999,1.6336000000000002,408.244
8700,query,1000.0,0.0,3028.4120000000003,0.024,0.0,0.0004,3007.656
8700,transfer,1000.0,0.0,1570.2120000000002,2.0343999999999998,1.1612,1.5888,407.764
8800,open,1000.0,0.0,1437.6960000000001,2.0136,1.2107999999999999,1.5896000000000001,414.98400000000004
8800,query,1000.0,0.0,2938.5879999999997,0.02,0.0,0.0004,2918.888
8800,transfer,1000.0,0.0,1505.18,2.146,1.0492,1.6068,389.376
8900,open,1000.0,0.0,1400.068,1.9124,1.1516,1.5224000000000002,424.548
8900,query,1000.0,0.0,2930.6440000000002,0.0252,0.0,0.0004,2912.6079999999997
8900,transfer,1000.0,0.0,1475.9,2.124,1.2712,1.6707999999999998,387.30400000000003
9000,open,1000.0,0.0,1407.2679999999998,1.9912,1.2595999999999998,1.5944,406.144
9000,query,1000.0,0.0,2952.1279999999997,0.0204,0.0,0.0,2932.264
9000,transfer,1000.0,0.0,1487.588,2.2852,1.19,1.734,369.86800000000005
9100,open,1000.0,0.0,1423.648,1.9252,1.146,1.5448,416.55199999999996
9100,query,1000.0,0.0,2905.34,0.018799999999999997,0.0,0.0,2887.9840000000004
9100,transfer,1000.0,0.0,1492.108,2.1328,1.0952,1.6328,388.95599999999996
9200,open,1000.0,0.0,1418.82,1.9464000000000001,1.212,1.5732,411.964
9200,query,1000.0,0.0,2929.612,0.022000000000000002,0.0,0.0,2913.58
9200,transfer,1000.0,0.0,1472.476,2.1,1.0428,1.6219999999999999,393.92400000000004
9300,open,1000.0,0.0,1406.4160000000002,1.9347999999999999,1.1543999999999999,1.5248,425.50800000000004
9300,query,1000.0,0.0,2883.636,0.022000000000000002,0.0,0.0,2850.38
9300,transfer,1000.0,0.0,1465.156,1.9875999999999998,1.1604,1.5515999999999999,412.92
9400,open,1000.0,0.0,1388.808,1.8936000000000002,1.1340000000000001,1.5124000000000002,430.45599999999996
9400,query,1000.0,0.0,2930.0359999999996,0.0248,0.0,0.0,2912.196
9400,transfer,1000.0,0.0,1476.664,1.9828000000000001,1.2288,1.5824,411.524
9500,open,1000.0,0.0,1355.692,1.8544,1.1216,1.4856,425.108
9500,query,1000.0,0.0,2818.256,0.024399999999999998,0.0,0.0004,2793.3
9500,transfer,1000.0,0.0,1475.568,2.1376,1.1708,1.6436,391.62
9600,open,1000.0,0.0,1391.172,1.8808,1.168,1.5036,431.19599999999997
9600,query,1000.0,0.0,2871.288,0.024399999999999998,0.0,0.0004,2853.3559999999998
9600,transfer,1000.0,0.0,1467.144,2.01,1.1384,1.5819999999999999,404.12800000000004
9700,open,1000.0,0.0,1378.704,1.9628,1.1676,1.5496,417.74800000000005
9700,query,1000.0,0.0,2841.0679999999998,0.0196,0.0,0.0,2817.46
9700,transfer,1000.0,0.0,1456.364,2.1756,1.102,1.6764,385.22
9800,open,1000.0,0.0,1415.4720000000002,1.9544,1.1516,1.5468000000000002,422.792
9800,query,1000.0,0.0,2887.88,0.022400000000000003,0.0,0.0,2867.9959999999996
9800,transfer,1000.0,0.0,1482.4560000000001,2.0136,1.1044,1.6447999999999998,402.336
9900,open,1000.0,0.0,1418.7079999999999,1.9668,1.1964,1.5612000000000001,412.8
9900,query,1000.0,0.0,2873.232,0.0204,0.0,0.0,2855.196
9900,transfer,1000.0,0.0,1461.568,1.9528,1.112,1.5288,414.152
10000,open,1000.0,0.0,1422.9479999999999,1.912,1.248,1.5632,425.444
10000,query,1000.0,0.0,2928.236,0.0204,0.0,0.0,2913.8759999999997
10000,transfer,1000.0,0.0,1464.796,2.1924,1.2564,1.6864,382.43199999999996
